#,"Company Name","Phone Number","Category / Area"
1,"AMMAJI MANUFACTURING TECHNOLOGIES","098805 14777","Manufacturing (Peenya)"
2,"JK Maini Precision Technology Limited","080 4126 1228","Manufacturing (Peenya)"
3,"VEEKAY INDUSTRIES","098805 06116","Manufacturing (Peenya)"
4,"Starline Packers Pvt Ltd.-Unit2","080 2836 7180","Manufacturing (Peenya)"
5,"Evergreen Import & Export","095972 30958","Export"
6,"Bangalore Exports","090081 78637","Export"
7,"Cosmic International Pvt.ltd.(r})","096200 78627","Export"
8,"Power Xchange","099641 11847","Industrial Equipment"
9,"Industrial Equipment Stores","080 2221 2439","Industrial Equipment"
10,"Nagel Special Machines Private Limited","080 2227 2781","Manufacturing"
11,"Hanuman Machinery Industries","098444 87787","Manufacturing"
12,"Elmec Technopac Machineries Pvt Ltd","099860 17163","Manufacturing"
13,"Concept Engineers Bangalore","098440 63633","Manufacturing"
14,"Deep hole drilling gun drilling job works","090667 66454","Industrial/Job Work"
15,"Professional Composites (Bangalore) Pvt Ltd","080 4169 1139","Manufacturing (Bommasandra)"
16,"KIVICH Manufacturing Firm","088618 53070","Manufacturing (Bommasandra)"
17,"Yoha Enterprises DM water manufacturer","094483 31950","Manufacturing (Bommasandra)"
18,"PM Technologies","099801 10115","Manufacturing (Bommasandra)"
19,"Samurai Exports Private Limited","073378 33112","Export"
20,"New Star Garment","090086 20175","Garment Manufacturing"
21,"Sujay Industries","080 2783 9043","Manufacturing (Jigani)"
22,"Aryan Clothing Company","080 2229 5925","Garment Manufacturing"
23,"SLR GARMENTS FACTORY OUTLET","097311 12461","Garment Manufacturing"
24,"Snf garments inc","098866 31006","Garment Manufacturing"
25,"ALOHA INDUSTRIES","078998 77894","Sheet Metal (Peenya)"
26,"Megha Punch Forms Private Limited","080 2372 4424","Sheet Metal (Peenya)"
27,"S B FAB TECH CNC LASER & BENDING","080733 77932","Sheet Metal (Peenya)"
28,"S H SHEET METAL WORKS","085537 54743","Sheet Metal (Peenya)"
29,"MJN Industries","098457 75202","Sheet Metal (Peenya)"
30,"J R punching","094821 38618","Sheet Metal (Peenya)"
31,"Amara Precision Components","080 2972 7362","Precision Manufacturing"
32,"S.P Precision Engineering Components","080 2839 2871","Precision Manufacturing"
33,"Saravana Engineers","099863 85252","Precision Engineering"
34,"Lakshmi Machine Hydraulic Works (LM WORKS)","096203 40760","Industrial/Hydraulic"
35,"Om Sri Sai Enterprises (Broaching Job Work)","094803 33117","Machine Shop"
36,"POORNIMA ENGINEERING WORKS","094484 93650","Manufacturing"
37,"Devi Industries","081233 20581","Manufacturing"
38,"Parvaa Industries","097391 89555","Sheet Metal (Peenya)"
39,"Gowri Shankar Designers","096061 96525","Sheet Metal"
40,"Hanu-V Manufacturing","098451 98321","Manufacturing"
41,"Altech Sheet Metal","080 2836 2984","Sheet Metal"
42,"Sri Raja Rajeshwari Industries","094480 33117","Manufacturing"
43,"SRS Clothing Company","080 2315 1515","Export/Garment"
44,"Valki Exports Pvt Ltd","080 2235 1251","Export/Garment"
45,"Formal Clothing Company","098451 98321","Garment Manufacturing"
46,"New Machine Well (H-Boring Job Work)","098440 63633","Industrial/Job Work"
47,"Krishna Machine Tools","080 2839 2871","Manufacturing"
48,"Peenya Industrial Area (Main Business Office)","090609 56209","Industrial Estate Office"
49,"Sinar Sheetmetal Solutions","099860 17163","Sheet Metal (Job Work)"
50,"MSR SHEET METAL WORKS","094488 02376","Sheet Metal"
